"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 00:00","2013","04","01","00:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 01:00","2013","04","01","01:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 02:00","2013","04","01","02:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 03:00","2013","04","01","03:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 04:00","2013","04","01","04:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 05:00","2013","04","01","05:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 06:00","2013","04","01","06:00","-18.2","","-23.0","","66","","","","2","","9","","12.9","","103.01","","","","-25","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 07:00","2013","04","01","07:00","-18.2","","-23.0","","66","","","","2","","9","","12.9","","103.03","","","","-25","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 08:00","2013","04","01","08:00","-19.3","","-24.1","","66","","","","2","","9","","12.9","","103.03","","","","-26","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 09:00","2013","04","01","09:00","-20.4","","-25.3","","65","","","","1","","9","","12.9","","103.06","","","","-27","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 10:00","2013","04","01","10:00","-19.9","","-24.7","","66","","","","34","","9","","16.1","","103.08","","","","-27","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 11:00","2013","04","01","11:00","-19.0","","-23.7","","66","","","","35","","7","","16.1","","103.10","","","","-24","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 12:00","2013","04","01","12:00","-19.8","","-24.5","","66","","","","2","","13","","16.1","","103.12","","","","-28","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 13:00","2013","04","01","13:00","-21.2","","-26.3","","63","","","","36","","9","","16.1","","103.15","","","","-28","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 14:00","2013","04","01","14:00","-21.2","","-26.0","","65","","","","1","","11","","16.1","","103.16","","","","-29","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 15:00","2013","04","01","15:00","-20.7","","-25.6","","65","","","","36","","15","","24.1","","103.15","","","","-30","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 16:00","2013","04","01","16:00","-20.5","","-25.5","","64","","","","1","","13","","24.1","","103.15","","","","-29","","Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 17:00","2013","04","01","17:00","-20.2","","-25.2","","64","","","","1","","6","","24.1","","103.17","","","","-25","","Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 18:00","2013","04","01","18:00","-20.3","","-25.3","","64","","","","36","","9","","24.1","","103.17","","","","-27","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 19:00","2013","04","01","19:00","-20.7","","-25.7","","64","","","","1","","7","","24.1","","103.15","","","","-26","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 20:00","2013","04","01","20:00","-21.0","","-25.9","","65","","","","1","","13","","24.1","","103.16","","","","-30","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 21:00","2013","04","01","21:00","-23.1","","-28.4","","62","","","","5","","13","","24.1","","103.18","","","","-32","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 22:00","2013","04","01","22:00","-24.6","","-30.1","","60","","","","4","","6","","24.1","","103.21","","","","-30","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-01 23:00","2013","04","01","23:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 00:00","2013","04","02","00:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 01:00","2013","04","02","01:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 02:00","2013","04","02","02:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 03:00","2013","04","02","03:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 04:00","2013","04","02","04:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 05:00","2013","04","02","05:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 06:00","2013","04","02","06:00","-21.8","","-26.8","","64","","","","1","","7","","12.9","","103.33","","","","-28","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 07:00","2013","04","02","07:00","-21.9","","-27.0","","63","","","","34","","11","","12.9","","103.34","","","","-30","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 08:00","2013","04","02","08:00","-22.6","","-27.6","","64","","","","33","","11","","12.9","","103.36","","","","-31","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 09:00","2013","04","02","09:00","-22.8","","-27.9","","63","","","","35","","13","","12.9","","103.39","","","","-32","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 10:00","2013","04","02","10:00","-23.1","","-28.3","","62","","","","35","","9","","12.9","","103.40","","","","-30","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 11:00","2013","04","02","11:00","-23.5","","-28.5","","63","","","","32","","7","","12.9","","103.43","","","","-30","","Snow"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 12:00","2013","04","02","12:00","-24.8","","-30.0","","62","","","","32","","9","","24.1","","103.45","","","","-32","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 13:00","2013","04","02","13:00","-24.9","","-30.1","","62","","","","31","","11","","24.1","","103.47","","","","-34","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 14:00","2013","04","02","14:00","-24.3","","-29.5","","62","","","","29","","11","","24.1","","103.48","","","","-33","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 15:00","2013","04","02","15:00","-23.7","","-28.9","","62","","","","28","","15","","24.1","","103.49","","","","-34","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 16:00","2013","04","02","16:00","-22.6","","-27.6","","64","","","","29","","19","","16.1","","103.49","","","","-33","","Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 17:00","2013","04","02","17:00","-22.8","","-27.8","","64","","","","29","","19","","24.1","","103.49","","","","-34","","Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 18:00","2013","04","02","18:00","-23.4","","-28.6","","62","","","","28","","17","","24.1","","103.47","","","","-34","","Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 19:00","2013","04","02","19:00","-24.0","","-29.3","","62","","","","28","","19","","24.1","","103.47","","","","-35","","Mainly Clear"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 20:00","2013","04","02","20:00","-24.9","","-30.2","","61","","","","28","","20","","24.1","","103.46","","","","-37","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 21:00","2013","04","02","21:00","-25.9","","-31.3","","60","","","","28","","19","","24.1","","103.45","","","","-38","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 22:00","2013","04","02","22:00","-25.6","","-30.8","","62","","","","27","","19","","24.1","","103.44","","","","-37","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-02 23:00","2013","04","02","23:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 00:00","2013","04","03","00:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 01:00","2013","04","03","01:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 02:00","2013","04","03","02:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 03:00","2013","04","03","03:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 04:00","2013","04","03","04:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 05:00","2013","04","03","05:00"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 06:00","2013","04","03","06:00","-27.3","","-32.9","","59","","","","30","","17","","24.1","","103.58","","","","-39","","Mostly Cloudy"
"-133.03","69.43","TUKTOYAKTUK A","2203912","2013-04-03 07:00","2013","04","03","07:00","-28.1","","-33.6","","59","","","","31","","17","","24.1","","103.61","","","","-40","","Clear"
